@relation SampleTrainData

@attribute avgSpeed numeric
@attribute avgAcc numeric
@attribute maxSpeed numeric
@attribute minSpeed numeric
@attribute 'transportation mode' {Stationary,Walking,Bicycle,Bus,Train,Car}

@data
0.015646,0.050247,0.012301,0.015648,Stationary
7.414991,0.398889,11.89248,0.401274,Walking
16.975028,0.666764,12.669066,3.582373,Bicycle
37.303901,2.899305,58.14849,6.422477,Bus
111.485513,0.464027,97.89446,7.69024,Train
91.855131,0.588544,111.36884,4.1659,Car
0.016287,0.025316,0.018112,0.001402,Stationary
6.839961,0.252751,10.431175,0.39014,Walking
13.965923,0.780359,14.424946,3.826956,Bicycle
33.981197,2.544589,68.104729,0.887479,Bus
109.817715,0.714713,148.508909,20.198316,Train
85.685118,1.120689,95.866841,21.473774,Car
0.01424,0.030589,0.013013,0.01457,Stationary
6.272281,0.392734,8.072371,0.455692,Walking
22.93705,0.721684,23.698985,4.740618,Bicycle
39.639519,2.8549,52.922589,1.293138,Bus
124.900914,0.627801,139.253986,11.026181,Train
84.617068,0.919499,61.503259,16.473191,Car
0.012417,0.038358,0.010175,0.016058,Stationary
4.63573,0.241463,12.822719,1.140796,Walking
15.722976,1.050129,16.390188,0.610842,Bicycle
32.48339,1.820194,58.328753,13.096924,Bus
96.227627,0.493348,137.041735,9.966912,Train
93.478314,0.763394,117.805308,14.83622,Car
0.011562,0.053108,0.016425,0.016659,Stationary
4.894504,0.538825,8.377085,1.060652,Walking
17.275578,1.150963,31.315709,3.722719,Bicycle
45.74012,2.860419,53.83961,0.576167,Bus
109.616875,0.819845,149.011944,6.144575,Train
54.420664,1.110115,144.623485,21.829327,Car
0.012164,0.044953,0.018319,0.011134,Stationary
5.401871,0.596542,12.638624,1.251079,Walking
14.694137,0.618574,3.464152,2.790573,Bicycle
36.287894,2.224422,74.191769,3.311789,Bus
85.459196,0.846389,113.443099,11.086692,Train
79.553821,1.999705,131.056572,22.349958,Car
0.011521,0.045602,0.016146,0.011739,Stationary
6.359012,0.54505,9.90818,0.07887,Walking
20.981791,0.671073,33.905149,3.056165,Bicycle
33.248116,0.983977,65.362798,5.624587,Bus
64.397709,0.945482,141.44681,23.459149,Train
73.724779,1.04917,140.213697,20.982599,Car
0.019902,0.033606,0.013591,0.015448,Stationary
6.900202,0.491119,10.892671,0.128458,Walking
22.365736,0.916786,4.06257,4.801757,Bicycle
28.884143,2.778515,50.517841,12.5368,Bus
80.258493,0.699735,139.3991,6.200686,Train
70.668431,0.729189,77.155656,0.584091,Car
0.018628,0.039346,0.016944,0.004213,Stationary
7.128023,0.20091,6.988871,0.076458,Walking
17.1447,0.996078,27.915032,2.529908,Bicycle
41.779187,2.507945,74.97364,10.157305,Bus
115.407125,0.447284,121.309846,27.46901,Train
36.038924,1.929579,134.375547,18.356122,Car
0.010773,0.020179,0.014389,0.012856,Stationary
4.193167,0.438342,9.930691,0.61549,Walking
18.911877,1.103602,23.455911,4.107798,Bicycle
35.044275,1.416099,71.565581,11.472701,Bus
71.110485,0.376781,101.148492,10.983763,Train
99.078241,2.382126,63.567073,19.444097,Car
0.019477,0.054261,0.010716,0.017171,Stationary
5.836397,0.309601,11.178118,0.251249,Walking
16.829431,0.834341,18.757683,2.128552,Bicycle
31.580964,1.287908,68.32135,12.530565,Bus
77.963128,0.783484,122.01927,21.154779,Train
84.133763,0.543467,104.266731,4.738087,Car
0.012266,0.026501,0.019627,0.003535,Stationary
7.074295,0.562509,5.512699,0.280799,Walking
16.945251,0.803489,9.379538,2.665776,Bicycle
39.432944,1.077312,74.659859,1.662909,Bus
97.746092,0.76645,146.114216,26.223043,Train
60.63035,2.888318,95.153096,1.412607,Car
0.012777,0.042777,0.012957,0.007074,Stationary
4.097951,0.242944,9.214093,1.384911,Walking
16.313284,0.846464,24.630518,3.37678,Bicycle
27.730849,2.194635,64.232571,6.728816,Bus
122.06435,0.632001,122.323852,4.496849,Train
50.244829,2.971043,121.551925,17.396954,Car
0.012865,0.04488,0.01048,0.011616,Stationary
4.465528,0.596774,9.058693,0.574253,Walking
20.000807,0.853357,11.007616,3.514178,Bicycle
47.830583,2.463468,52.913193,11.928841,Bus
109.41062,0.54982,116.768596,21.785573,Train
71.262573,0.934544,130.852782,0.212647,Car
0.012854,0.047428,0.01359,0.008535,Stationary
6.324464,0.377721,6.507894,0.235599,Walking
13.668059,0.868545,4.200067,4.316851,Bicycle
32.970983,2.754523,61.153484,1.916513,Bus
110.518553,0.732553,127.605829,26.239108,Train
87.427105,0.638303,86.151472,2.71424,Car
0.01549,0.044872,0.013453,0.006624,Stationary
7.752654,0.424768,6.700435,1.138513,Walking
20.033386,1.055195,21.020762,1.316338,Bicycle
51.599589,2.417064,75.656169,14.293981,Bus
102.908122,0.712896,87.037676,3.291079,Train
104.015954,2.236705,106.036241,1.246445,Car
0.010694,0.026557,0.015739,0.016645,Stationary
5.612544,0.458265,8.485826,1.204399,Walking
16.201569,0.626247,12.418274,3.339453,Bicycle
51.436217,2.612185,61.951066,8.333988,Bus
56.154023,0.535737,85.445386,4.371002,Train
45.256549,2.808171,81.49787,8.696483,Car
0.011738,0.047809,0.011829,0.00297,Stationary
5.305503,0.590653,12.30769,1.086865,Walking
23.234925,1.09529,26.23806,2.278408,Bicycle
40.279795,1.380105,71.106195,11.932329,Bus
108.229761,0.529048,81.351382,21.114032,Train
63.065805,2.32574,81.192257,18.905462,Car
0.014895,0.033873,0.013059,0.01338,Stationary
5.526269,0.534387,9.830073,0.472241,Walking
23.9255,0.898711,21.415196,3.345448,Bicycle
38.790248,0.915097,57.830871,7.423398,Bus
63.384009,0.431371,154.436944,2.425614,Train
